year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2014,2014083010,iran,2014-08-30,Group Play,201,23,59,6,15,8,13,9,29,11,8,1,19,24,60,L,30,0.3898305084745763,0.4,0.6153846153846154,64.72,0.4635352286773795,0.4406779661016949,22.694696607740088
2014,2014083010,spain,2014-08-30,Group Play,200,30,60,7,19,23,32,12,40,22,13,4,12,12,90,W,30,0.5,0.3684210526315789,0.71875,74.08,0.607451403887689,0.5583333333333333,13.940520446096654
2014,2014083011,new zealand,2014-08-30,Group Play,201,27,68,9,27,10,14,18,43,12,7,1,18,22,73,L,3,0.39705882352941174,0.3333333333333333,0.7142857142857143,74.16,0.4921790722761597,0.4632352941176471,19.53125
2014,2014083011,turkey,2014-08-30,Group Play,200,26,60,7,23,17,21,10,26,12,9,4,14,20,76,W,3,0.43333333333333335,0.30434782608695654,0.8095238095238095,69.24,0.5488157134604276,0.49166666666666664,16.818837097549256
2014,2014083112,angola,2014-08-31,Group Play,200,23,63,7,25,9,12,7,28,10,11,0,11,24,62,L,13,0.36507936507936506,0.28,0.75,68.28,0.45401288810779145,0.42063492063492064,13.874873864783048
2014,2014083112,lithuania,2014-08-31,Group Play,200,24,49,7,20,20,28,7,31,14,2,2,15,16,75,W,13,0.4897959183673469,0.35,0.7142857142857143,61.32,0.6115459882583171,0.5612244897959183,19.654088050314467
2014,2014083113,australia,2014-08-31,Group Play,200,35,68,8,14,11,16,17,40,23,10,0,15,15,89,W,34,0.5147058823529411,0.5714285714285714,0.6875,75.04,0.5930170575692963,0.5735294117647058,16.659262549977786
2014,2014083113,korea,2014-08-31,Group Play,202,22,56,5,25,6,9,5,18,15,9,8,18,21,55,L,34,0.39285714285714285,0.2,0.6666666666666666,59.96,0.45863909272848563,0.4375,23.088763468445354
2014,2014083114,argentina,2014-08-31,Group Play,200,31,65,9,24,14,20,4,29,17,4,3,6,23,85,L,5,0.47692307692307695,0.375,0.7,73.8,0.575880758807588,0.5461538461538461,7.518796992481203
2014,2014083114,croatia,2014-08-31,Group Play,200,30,63,13,33,17,22,7,34,19,4,0,7,23,90,W,5,0.47619047619047616,0.3939393939393939,0.7727272727272727,72.68,0.6191524490919097,0.5793650793650794,8.785140562248996
2014,2014083115,egypt,2014-08-31,Group Play,200,22,65,4,25,6,10,7,29,5,7,1,20,21,54,L,37,0.3384615384615385,0.16,0.6,69.4,0.3890489913544668,0.36923076923076925,22.371364653243848
2014,2014083115,spain,2014-08-31,Group Play,200,35,71,7,25,14,16,11,42,22,9,7,14,13,91,W,37,0.49295774647887325,0.28,0.875,78.04,0.5830343413634034,0.5422535211267606,15.210777922642329
2014,2014083116,france,2014-08-31,Group Play,200,29,55,7,23,9,13,9,29,21,7,1,16,21,74,W,1,0.5272727272727272,0.30434782608695654,0.6923076923076923,60.72,0.60935441370223975,0.5909090909090909,20.855057351407716
2014,2014083116,serbia,2014-08-31,Group Play,200,25,53,4,18,19,21,7,22,10,10,0,13,20,73,L,1,0.4716981132075472,0.2222222222222222,0.9047619047619048,62.24,0.586439588688946,0.5094339622641509,17.278043593833065
2014,2014083117,greece,2014-08-31,Group Play,200,28,65,5,22,21,30,9,43,14,6,8,11,19,82,W,12,0.4307692307692308,0.22727272727272727,0.7,78.2,0.5242966751918159,0.46923076923076923,12.331838565022421
2014,2014083117,philippines,2014-08-31,Group Play,200,24,68,6,22,16,20,6,39,10,8,2,11,25,70,L,12,0.35294117647058826,0.2727272727272727,0.8,76.8,0.4557291666666667,0.39705882352941174,12.528473804100228
2014,2014083118,brazil,2014-08-31,Group Play,202,32,59,5,15,10,15,6,31,14,17,3,18,16,79,W,29,0.5423728813559322,0.3333333333333333,0.6666666666666666,65.6,0.6021341463414634,0.5847457627118644,21.5311004784689
2014,2014083118,iran,2014-08-31,Group Play,200,21,56,3,14,5,9,4,23,9,11,2,24,19,50,L,29,0.375,0.21428571428571427,0.5555555555555556,59.96,0.41694462975316876,0.4017857142857143,28.585040495474033
2014,2014083119,mexico,2014-08-31,Group Play,200,26,47,5,13,11,15,4,20,12,5,3,19,23,68,L,21,0.5531914893617021,0.38461538461538464,0.7333333333333333,53.6,0.6343283582089552,0.6063829787234043,26.170798898071627
2014,2014083119,slovenia,2014-08-31,Group Play,200,32,53,10,21,15,20,6,19,19,10,1,11,21,89,W,21,0.6037735849056604,0.47619047619047616,0.75,61.8,0.7200647249190939,0.6981132075471698,15.109890109890111
2014,2014083120,dominican republic,2014-08-31,Group Play,200,32,67,8,21,4,7,11,37,13,3,4,9,17,76,W,13,0.47761194029850745,0.38095238095238093,0.5714285714285714,70.08,0.5422374429223744,0.5373134328358209,11.380880121396055
2014,2014083120,new-zealand,2014-08-31,Group Play,200,22,64,7,32,12,18,12,26,15,3,1,11,14,63,L,13,0.34375,0.21875,0.6666666666666666,71.92,0.4379866518353726,0.3984375,13.26579835986493
2014,2014083121,puerto-rico,2014-08-31,Group Play,201,26,61,12,29,11,17,8,31,19,4,1,18,23,75,L,7,0.4262295081967213,0.41379310344827586,0.6470588235294118,68.48,0.5476051401869159,0.5245901639344263,20.814061054579092
2014,2014083121,senegal,2014-08-31,Group Play,200,30,58,7,20,15,27,9,36,12,12,6,15,21,82,W,7,0.5172413793103449,0.35,0.5555555555555556,69.88,0.5867200915855754,0.5775862068965517,17.67200754005655
2014,2014083122,finland,2014-08-31,Group Play,200,29,62,11,28,12,23,10,30,19,7,1,10,22,81,W,5,0.46774193548387094,0.39285714285714285,0.5217391304347826,72.12,0.5615640599001663,0.5564516129032258,12.177301509985387
2014,2014083122,ukraine,2014-08-31,Group Play,200,24,54,10,30,18,23,8,35,19,3,2,16,23,76,L,5,0.4444444444444444,0.3333333333333333,0.782608695652174,64.12,0.5926388022457891,0.5370370370370371,19.9700449326011
